time,transfer_history.first_attached_node,transfer_history.last_chunk_id,transfer_history.last_completion_date_string,transfer_history.last_creation_date_string,transfer_history.last_data_type,transfer_history.last_data_type_1,transfer_history.last_direction,transfer_history.last_qbox,transfer_history.last_qguid,transfer_history.last_remote_location_name,transfer_history.last_session,transfer_history.last_state,transfer_history.last_task,transfer_history.last_transfer_direction,transfer_history.last_transfer_type,transfer_history.last_transfer_type_1,transfer_history.mean_actually_transferred_size,transfer_history.mean_cached_data_size,transfer_history.mean_time_transfer_sec,transfer_history.mean_transfer_size
2019-03-13T16:00:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T16:01:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T16:02:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T16:03:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T16:04:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T16:05:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T16:06:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T16:07:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T16:08:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T16:09:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T16:10:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T16:11:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T16:12:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T16:13:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T16:14:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T16:15:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T16:16:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T16:17:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T16:18:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T16:19:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T16:20:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T16:21:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T16:22:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T16:23:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T16:24:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T16:25:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T16:26:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T16:27:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T16:28:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T16:29:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T16:30:00.000Z,QBOX-6000-0000-0000-000000000004,,13/03/2019\ 16:30:36,13/03/2019\ 16:30:29,,,,QBOX-6000-0000-0000-000000000004,SCDL-38df-4877-8e58-78611c8fcb25,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0307-1124-91be-93edf97c6c2e,Down,QDisk,,0,47781456.333333336,7,44627521
2019-03-13T16:31:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T16:32:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T16:33:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T16:34:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T16:35:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T16:36:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T16:37:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T16:38:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T16:39:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T16:40:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T16:41:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T16:42:00.000Z,QBOX-4000-0000-1000-000000000002,,13/03/2019\ 16:42:55,13/03/2019\ 16:42:52,,,,QBOX-4000-0000-1000-000000000002,SCDL-0564-3192-e768-eba583d40d1d,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0313-1742-c702-933c98cc13ae,Down,Docker,,0,162888367,3,162888367
