,actually_transferred_size,direction,id,node,profile,res,size,subtime,time_taken,type,job_id,workload_name,submission_time,requested_number_of_resources,requested_time,success,final_state,starting_time,execution_time,finish_time,waiting_time,turnaround_time,stretch,allocated_resources,consumed_energy,metadata,ratio_minus_1
1338,414770.0,Up,1338,QBOX-2000-0000-0000-000000000002,1338_profile,1,306288.0,52086.0,5.0,S3,1338,ec5494,52086.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52086.000045,0.026591000000000004,52086.026636,4.5e-05,0.026636,1.001693,1688 1707,0.0,,187.03354518446088
1339,414770.0,Up,1339,QBOX-2000-0000-0000-000000000001,1339_profile,1,306288.0,52078.0,7.0,S3,1339,ec5494,52078.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52078.000045,0.026591000000000004,52078.026636,4.5e-05,0.026636,1.001693,1687 1707,0.0,,262.2469632582452
1340,414770.0,Up,1340,QBOX-2000-0000-0000-000000000001,1340_profile,1,306288.0,52088.0,3.0,S3,1340,ec5494,52088.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52088.000045,0.026591000000000004,52088.026636,4.5e-05,0.026636,1.001693,1687 1707,0.0,,111.82012711067654
1342,414770.0,Up,1342,QBOX-5000-0000-0000-000000000005,1342_profile,1,306288.0,52091.0,3.0,S3,1342,ec5494,52091.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52091.000045,0.026591000000000004,52091.026636,4.5e-05,0.026636,1.001693,1698 1707,0.0,,111.82012711067654
1343,414770.0,Up,1343,QBOX-4000-0000-1000-000000000002,1343_profile,1,306288.0,52057.0,40.0,S3,1343,ec5494,52057.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52057.000045,0.013318,52057.013363,4.5e-05,0.013363,1.003379,1692 1707,0.0,,3002.453972067878
1344,414770.0,Up,1344,QBOX-4000-0000-1000-000000000002,1344_profile,1,306288.0,52059.0,41.0,S3,1344,ec5494,52059.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52059.000075,0.013318,52059.013393,7.5e-05,0.013393,1.005632,1692 1707,0.0,,3077.540321369575
1345,414770.0,Up,1345,QBOX-2000-0000-0000-000000000002,1345_profile,1,306288.0,52095.0,5.0,S3,1345,ec5494,52095.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52095.000045,0.026591000000000004,52095.026636,4.5e-05,0.026636,1.001693,1688 1707,0.0,,187.03354518446088
1346,414770.0,Up,1346,QBOX-2000-0000-0000-000000000002,1346_profile,1,306288.0,52096.0,4.0,S3,1346,ec5494,52096.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52096.000045,0.026591000000000004,52096.026636,4.5e-05,0.026636,1.001693,1688 1707,0.0,,149.4268361475687
1347,414770.0,Up,1347,QBOX-2000-0000-0000-000000000004,1347_profile,1,306288.0,52094.0,4.0,S3,1347,ec5494,52094.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52094.000045,0.026591000000000004,52094.026636,4.5e-05,0.026636,1.001693,1690 1707,0.0,,149.4268361475687
1348,414770.0,Up,1348,QBOX-2000-0000-0000-000000000004,1348_profile,1,306288.0,52094.0,7.0,S3,1348,ec5494,52094.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52094.000060000006,0.026591000000000004,52094.026651,5.9999999999999995e-05,0.026650999999999998,1.002257,1690 1707,0.0,,262.2469632582452
1349,414770.0,Up,1349,QBOX-8000-0000-0000-000000000006,1349_profile,1,306288.0,52093.0,7.0,S3,1349,ec5494,52093.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52093.000045,0.016636,52093.016681,4.5e-05,0.016681,1.002705,1705 1707,0.0,,419.77422457321467
1350,414770.0,Up,1350,QBOX-4000-0000-1000-000000000005,1350_profile,1,306288.0,52098.0,5.0,S3,1350,ec5494,52098.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52098.000045,0.013318,52098.013363,4.5e-05,0.013363,1.003379,1695 1707,0.0,,374.43174650848476
1351,414770.0,Up,1351,QBOX-4000-0000-1000-000000000005,1351_profile,1,306288.0,52098.0,8.0,S3,1351,ec5494,52098.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52098.000060000006,0.013318,52098.013377999996,5.9999999999999995e-05,0.013378,1.004506,1695 1707,0.0,,599.6907944135756
1352,414770.0,Up,1352,QBOX-4000-0000-1000-000000000002,1352_profile,1,306288.0,52060.0,43.0,S3,1352,ec5494,52060.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52060.000060000006,0.013318,52060.013377999996,5.9999999999999995e-05,0.013378,1.004506,1692 1707,0.0,,3227.713019972969
1353,414770.0,Up,1353,QBOX-4000-0000-1000-000000000002,1353_profile,1,306288.0,52062.0,41.0,S3,1353,ec5494,52062.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52062.000060000006,0.013318,52062.013377999996,5.9999999999999995e-05,0.013378,1.004506,1692 1707,0.0,,3077.540321369575
1354,414770.0,Up,1354,QBOX-4000-0000-1000-000000000002,1354_profile,1,306288.0,52067.0,39.0,S3,1354,ec5494,52067.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52067.000045,0.013318,52067.013363,4.5e-05,0.013363,1.003379,1692 1707,0.0,,2927.3676227661813
1355,414770.0,Up,1355,QBOX-4000-0000-1000-000000000002,1355_profile,1,306288.0,52071.0,35.0,S3,1355,ec5494,52071.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52071.000089999994,0.013318,52071.013408,9e-05,0.013408000000000002,1.006759,1692 1707,0.0,,2627.0222255593935
1356,414770.0,Up,1356,QBOX-4000-0000-1000-000000000002,1356_profile,1,306288.0,52072.0,34.0,S3,1356,ec5494,52072.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52072.000060000006,0.013318,52072.013377999996,5.9999999999999995e-05,0.013378,1.004506,1692 1707,0.0,,2551.9358762576967
1357,414770.0,Up,1357,QBOX-4000-0000-1000-000000000002,1357_profile,1,306288.0,52073.0,36.0,S3,1357,ec5494,52073.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52073.000075,0.013318,52073.013393,7.5e-05,0.013393,1.005632,1692 1707,0.0,,2702.1085748610903
1358,414770.0,Up,1358,QBOX-4000-0000-1000-000000000002,1358_profile,1,306288.0,52073.0,36.0,S3,1358,ec5494,52073.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52073.000089999994,0.013318,52073.013408,9e-05,0.013408000000000002,1.006759,1692 1707,0.0,,2702.1085748610903
1359,414770.0,Up,1359,QBOX-4000-0000-1000-000000000002,1359_profile,1,306288.0,52075.0,37.0,S3,1359,ec5494,52075.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52075.000045,0.013318,52075.013363,4.5e-05,0.013363,1.003379,1692 1707,0.0,,2777.194924162787
